signal_id,source_date,funding_type,conversion_stage,signal_title,source_url_or_path,source_type,geography_name,counterparty_name,counterparty_class,primary_constraint,amount_usd,signal_status,project_family,amount_display,amount_usd_floor,amount_qualifier,aggregation_role,superseded_by,supersedes,current_project_scope,publisher_name,dataset_name,dataset_version,canonical_ledger_url,canonical_record_url,citation_and_use_url
LAIS-0001,2024-12-04,Private Capex,Announced,Meta selects Northeast Louisiana as site of $10B AI-optimized data center,https://louisianaaihub.com/sources/2026-08-18_LED_Meta_Richland_10B_Workforce_SourceReference.pdf,Primary (Official),Richland Parish,"Meta Platforms, Inc.",Technology Company,Power/Grid,10000000000,LOGGED,Meta Hyperion,Approximately $10 billion,,Approximately,Historical - superseded for current project aggregation,LAIS-0029,,No,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0001,https://louisianaaihub.com/citation-use
LAIS-0002,2025-08-20,Private Capex,Approved,LPSC approves Entergy generation and transmission resources supporting Meta data center in Richland Parish,https://louisianaaihub.com/sources/LAIS-0002_LPSC_EntergyMetaGridApproval_Transcript_2025-08-20.pdf,Primary (Official),Richland Parish,"Entergy Louisiana, LLC",Utility/Energy,Power/Grid,—,LOGGED,Meta Hyperion,,,,No monetary amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0002,https://louisianaaihub.com/citation-use
LAIS-0003,2025-12-17,Private Contract Value,Contracted,Hut 8 signs 15-year 245 MW AI data center lease at River Bend campus (total contract value $7.0B),https://louisianaaihub.com/sources/2026-08-18_Hut8_RiverBend_7B_Lease_SourceReference.pdf,Primary (Company),River Bend Campus (West Feliciana Parish),Hut 8 Corp.,Private Infrastructure Operator,Procurement,7000000000,LOGGED,Hut 8 River Bend,$7.0 billion,7000000000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0003,https://louisianaaihub.com/citation-use
LAIS-0004,2025-09-30,Public/Institutional Awards,Approved,U.S. Department of Labor awards $7M to Louisiana Workforce Commission,https://louisianaaihub.com/sources/2026-08-18_USDOL_LouisianaWorkforce_7M_SourceReference.pdf,Primary (Official),Louisiana,Louisiana Workforce Commission,Public Agency,Workforce,7000000,LOGGED,,$7 million,7000000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0004,https://louisianaaihub.com/citation-use
LAIS-0005,2024-04-24,Public/Institutional Awards,Approved,BoRSF-RCS 005A-24 — AI Based Methodologies for Major Crops in Louisiana,https://louisianaaihub.com/sources/2024-04-24_LouisianaBoardOfRegents_BoRSF_AwardRecommendations_Official.pdf,Primary (Official),Baton Rouge,LSU - AgCenter,University/Research,Capital,154000,LOGGED,,"$154,000",154000,Exact,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0005,https://louisianaaihub.com/citation-use
LAIS-0006,2024-04-24,Public/Institutional Awards,Submitted,BoRSF-RCS 045A-24 — submitted AI-driven micro-grid proposal; not in final funded list,https://louisianaaihub.com/sources/2024-04-24_LouisianaBoardOfRegents_BoRSF_AwardRecommendations_Official.pdf,Primary (Official),Baton Rouge,LSU - A&M College,University/Research,Capital,,CORRECTED,,Not awarded,,,Excluded — no award established,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0006,https://louisianaaihub.com/citation-use
LAIS-0007,2024-06-01,Public/Institutional Awards,Operational,LTRC/DOTD — Improved Signalized Intersection Performance,https://louisianaaihub.com/sources/LAIS-0007_LTRC_DOTD_AnnualWorkProgram_SignalizedIntersectionPerformance_2024-06-01.pdf,Primary (Official),Louisiana,Louisiana Transportation Research Center (LTRC),Public Agency,Capital,223751,LOGGED,,"$223,751",223751,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0007,https://louisianaaihub.com/citation-use
LAIS-0008,2025-11-06,Public/Institutional Awards,Approved,"Tulane Provost’s Proof of Concept Fund awards $150,000 to Fall 2025 recipients",https://louisianaaihub.com/sources/2026-08-18_Tulane_ProofOfConceptFund_150K_SourceReference.pdf,Primary (Official),New Orleans,Tulane University,University/Research,Capital,150000,LOGGED,,"$150,000",150000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0008,https://louisianaaihub.com/citation-use
LAIS-0009,2026-02-23,Private Capex,Announced,Amazon selects Louisiana for $12B data center campuses (Caddo & Bossier Parishes),https://louisianaaihub.com/sources/2026-08-18_LED_Amazon_CaddoBossier_12B_SourceReference.pdf,Primary (Official),Caddo & Bossier Parishes,Amazon,Technology Company,Power/Grid,12000000000,LOGGED,Amazon Caddo-Bossier,$12 billion (historical),12000000000,,Historical - superseded for current project aggregation,LAIS-0150,,No,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0009,https://louisianaaihub.com/citation-use
LAIS-0010,2025-12-17,Private Capex,Announced,Hut 8 River Bend campus Phase I investment (up to $10B),https://louisianaaihub.com/sources/2026-08-18_LED_Hut8_RiverBend_10B_SourceReference.pdf,Primary (Official),West Feliciana Parish,Hut 8 Corp.,Private Infrastructure Operator,Power/Grid,10000000000,LOGGED,Hut 8 River Bend,Up to $10 billion,,Up to,Additive current amount,,,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0010,https://louisianaaihub.com/citation-use
